variety,count,avg score,avg price
Dornfelder,26,86.73076923076923,17.23076923076923
Scheurebe,25,90.52,44.52173913043478
Kerner,25,88.88,23.416666666666668
Tokaji,24,90.75,59.08695652173913
Welschriesling,24,88.875,28.608695652173914
Charbono,24,88.29166666666667,34.291666666666664
Merlot-Cabernet Franc,23,88.65217391304348,38.72727272727273
Trincadeira,23,87.69565217391305,20.19047619047619
Jacquère,23,87.47826086956522,16.90909090909091
Colombard,23,87.0,16.863636363636363
Gros Manseng,22,88.22727272727273,18.157894736842106
Marsanne-Roussanne,22,87.4090909090909,30.40909090909091
Macabeo,22,85.22727272727273,16.181818181818183
Rotgipfler,21,89.71428571428571,26.6875
Savagnin,21,89.47619047619048,43.733333333333334
Albana,21,89.42857142857143,23.944444444444443
Cabernet Sauvignon-Cabernet Franc,21,88.95238095238095,43.57142857142857
Corvina,21,88.66666666666667,44.78947368421053
Schiava,21,88.19047619047619,18.952380952380953
Gamay Noir,21,87.66666666666667,23.2
Tocai Friulano,21,87.28571428571429,25.105263157894736
Cabernet Merlot,21,86.66666666666667,22.42105263157895
Muskat Ottonel,21,86.42857142857143,14.631578947368421
Passerina,21,85.95238095238095,17.294117647058822
Bobal,21,85.9047619047619,20.857142857142858
Piedirosso,19,86.47368421052632,21.307692307692307
Monastrell-Syrah,19,86.42105263157895,18.36842105263158
Xarel-lo,19,85.73684210526316,16.31578947368421
Verdejo-Viura,19,85.57894736842105,11.0
Lambrusco di Sorbara,18,89.5,20.6875
Touriga Nacional Blend,18,89.16666666666667,28.428571428571427
Orange Muscat,18,88.27777777777777,20.22222222222222
Cabernet Franc-Merlot,17,89.05882352941177,46.375
Syrah-Mourvèdre,17,89.05882352941177,32.94117647058823
Lambrusco Grasparossa,17,87.47058823529412,17.8
Malbec-Syrah,17,85.6470588235294,18.625
Pinot Noir-Gamay,17,85.58823529411765,18.125
Colombard-Sauvignon Blanc,17,85.3529411764706,10.857142857142858
Coda di Volpe,17,85.23529411764706,19.5
Chambourcin,17,83.58823529411765,18.058823529411764
Grenache-Carignan,16,89.6875,27.6875
Cabernet Franc-Cabernet Sauvignon,16,89.3125,28.733333333333334
Assyrtiko,16,89.1875,23.0
Palomino,16,88.875,39.0625
Malvasia Bianca,16,88.5625,22.75
Picpoul,16,87.875,20.866666666666667
Tinto del Pais,16,87.6875,38.1875
Nero di Troia,16,87.6875,29.466666666666665
Negrette,16,87.6875,20.666666666666668
Plavac Mali,16,87.5625,34.4375
Moscato Giallo,16,87.4375,22.53846153846154
Cabernet Sauvignon-Malbec,16,87.375,40.375
Hondarrabi Zuri,16,86.0,20.9375
Norton,16,84.0,25.3125
Syrah-Viognier,15,89.73333333333333,50.666666666666664
Syrah-Petite Sirah,15,89.66666666666667,41.46666666666667
Antão Vaz,15,87.8,20.2
Syrah-Cabernet,15,87.26666666666667,26.866666666666667
Mondeuse,15,87.26666666666667,25.846153846153847
Baco Noir,15,86.0,26.266666666666666
Portuguese Rosé,15,84.53333333333333,17.0
Seyval Blanc,15,84.2,19.733333333333334
Tannat-Cabernet Franc,14,90.92857142857143,20.928571428571427
Zierfandler,14,90.42857142857143,32.36363636363637
Shiraz-Grenache,14,89.57142857142857,28.857142857142858
Grauburgunder,14,88.92857142857143,24.666666666666668
Alfrocheiro,14,88.85714285714286,27.928571428571427
Grechetto,14,86.64285714285714,16.818181818181817
Prieto Picudo,14,86.07142857142857,38.285714285714285
Sauvignon Gris,14,86.0,21.916666666666668
Brachetto,14,83.71428571428571,17.428571428571427
Malbec-Tannat,13,90.46153846153847,34.23076923076923
Carignano,13,89.92307692307692,36.833333333333336
Kalecik Karasi,13,89.3076923076923,25.076923076923077
White Riesling,13,88.61538461538461,16.692307692307693
Gaglioppo,13,86.6923076923077,20.666666666666668
Bical,13,86.38461538461539,15.25
Raboso,13,85.84615384615384,25.416666666666668
Pansa Blanca,13,85.6923076923077,18.076923076923077
Viura-Chardonnay,13,84.6923076923077,10.76923076923077
Cabernet-Syrah,12,89.08333333333333,25.454545454545453
Muscat Blanc,12,88.41666666666667,21.0
Pinot Auxerrois,12,86.91666666666667,24.09090909090909
Cabernet Sauvignon-Tempranillo,12,86.16666666666667,14.833333333333334
Viognier-Chardonnay,12,86.0,20.5
Garnacha-Syrah,12,84.5,12.916666666666666
Roter Veltliner,11,90.0909090909091,35.0
Roussanne-Viognier,11,89.0909090909091,31.545454545454547
Counoise,11,89.0,31.0
Malbec-Cabernet Franc,11,88.36363636363636,38.0
Tinta Roriz,11,88.0909090909091,29.4
Tannat-Merlot,11,87.63636363636364,18.22222222222222
Uva di Troia,11,87.54545454545455,25.0
Chenin Blanc-Viognier,11,87.36363636363636,16.09090909090909
Siria,11,87.0909090909091,13.7
Muscadelle,10,92.5,111.2
Mataro,10,89.5,48.1
Vidal,10,89.1,38.5
Tocai,10,88.3,21.333333333333332
Black Muscat,10,88.2,22.8
Tinta Fina,10,88.1,30.3
Merlot-Cabernet,10,88.1,21.9
Cabernet,10,87.1,17.125
Ruché,10,87.0,28.0
Refosco,10,86.6,25.5
Vignoles,10,85.6,17.3
Loin de l'Oeil,9,91.33333333333333,27.333333333333332
Aragonês,9,88.66666666666667,31.166666666666668
Malagousia,9,88.66666666666667,20.666666666666668
Perricone,9,87.66666666666667,27.333333333333332
Trepat,9,87.55555555555556,21.0
Pallagrello,9,87.44444444444444,33.0
Aragonez,9,87.33333333333333,21.2
Kekfrankos,9,87.11111111111111,29.11111111111111
Grenache Blend,9,86.77777777777777,24.11111111111111
Johannisberg Riesling,9,86.11111111111111,8.875
Ugni Blanc-Colombard,9,85.77777777777777,10.88888888888889
Traminette,9,84.55555555555556,14.777777777777779
Tempranillo Blanco,9,83.66666666666667,29.11111111111111
Neuburger,8,90.625,24.4
Durella,8,89.625,32.5
Okuzgozu,8,89.5,23.875
Carignan-Grenache,8,89.125,30.375
Chasselas,8,89.0,21.714285714285715
Sauvignon Blanc-Chardonnay,8,88.25,21.666666666666668
Grecanico,8,87.5,21.5
Garnacha Tintorera,8,87.125,16.75
Bual,7,94.14285714285714,100.0
Syrah-Tempranillo,7,89.71428571428571,39.857142857142854
Morillon,7,89.57142857142857,29.714285714285715
Jaen,7,89.42857142857143,31.0
Cabernet Sauvignon-Sangiovese,7,89.0,39.5
Carmenère-Cabernet Sauvignon,7,88.42857142857143,29.666666666666668
Duras,7,88.42857142857143,21.333333333333332
Nosiola,7,88.0,28.428571428571427
Teran,7,88.0,26.0
Viognier-Roussanne,7,88.0,25.714285714285715
Mavrud,7,87.85714285714286,14.142857142857142
Mantonico,7,87.71428571428571,27.8
Posip,7,87.71428571428571,24.714285714285715
Trebbiano Spoletino,7,87.71428571428571,22.4
Mauzac,7,87.71428571428571,18.0
Narince,7,87.14285714285714,21.285714285714285
Manzoni,7,86.85714285714286,22.6
Malvasia Istriana,7,86.71428571428571,20.0
Gewürztraminer-Riesling,7,86.57142857142857,23.714285714285715
Tempranillo-Merlot,7,85.28571428571429,19.428571428571427
Colombard-Ugni Blanc,7,85.14285714285714,10.285714285714286
Tempranillo-Shiraz,7,84.28571428571429,14.142857142857142
Tokay,6,90.66666666666667,52.0
Roter Traminer,6,90.16666666666667,32.25
Moscadello,6,90.0,40.0
Mission,6,89.66666666666667,59.333333333333336
Susumaniello,6,89.66666666666667,30.8
Moscatel Roxo,6,89.5,22.0
Altesse,6,88.83333333333333,17.666666666666668
Touriga Franca,6,88.66666666666667,24.833333333333332
Syrah-Merlot,6,88.33333333333333,29.666666666666668
Prié Blanc,6,88.33333333333333,24.2
Sousão,6,88.16666666666667,35.666666666666664
Avesso,6,88.0,16.333333333333332
Nascetta,6,87.83333333333333,27.0
Feteasca Neagra,6,87.66666666666667,14.166666666666666
Trousseau,6,87.16666666666667,37.666666666666664
Merlot-Malbec,6,87.0,28.666666666666668
Carmenère-Syrah,6,86.66666666666667,20.666666666666668
Maturana,6,86.5,57.5
Chardonnay-Semillon,6,86.33333333333333,19.0
Chardonnay-Sauvignon,6,86.33333333333333,13.666666666666666
Sangiovese-Cabernet Sauvignon,6,86.0,30.0
Blanc du Bois,6,85.0,27.0
Chenin Blanc-Sauvignon Blanc,6,84.83333333333333,10.5
Sämling,5,91.2,35.5
Braucol,5,90.6,27.0
Zierfandler-Rotgipfler,5,90.4,23.75
Rieslaner,5,90.0,40.333333333333336
Verduzzo,5,90.0,30.0
Nerello Cappuccio,5,89.4,34.2
Pinot-Chardonnay,5,89.4,29.4
Roussanne-Marsanne,5,88.4,34.5
Grenache-Mourvèdre,5,88.0,36.6
Cesanese d'Affile,5,88.0,21.6
Pallagrello Bianco,5,87.6,31.6
Tinta Barroca,5,87.6,26.5
Mtsvane,5,87.6,20.75
Alicante,5,87.4,23.0
Tannat-Syrah,5,87.4,17.2
Valdiguié,5,87.2,20.8
Savatiano,5,87.2,13.8
Kisi,5,87.0,20.4
Alvarinho-Chardonnay,5,87.0,11.25
Malvasia Nera,5,86.8,31.6
Muskateller,5,86.8,26.0
Feteascǎ Regalǎ,5,86.8,10.0
Aleatico,5,86.6,39.75
Malbec-Bonarda,5,86.4,17.8
Mavrodaphne,5,86.4,16.0
Carineña,5,86.2,22.2
Greco Bianco,5,86.2,16.5
Verdeca,5,86.2,15.6
Garnacha-Tempranillo,5,86.2,11.2
Semillon-Chardonnay,5,85.6,12.4
Verdejo-Sauvignon Blanc,5,85.0,9.8
Timorasso,4,90.75,45.75
Veltliner,4,90.0,29.5
Boğazkere,4,89.75,25.75
Syrah-Carignan,4,89.75,22.75
Sciaccerellu,4,89.0,45.5
Chardonnay-Pinot Blanc,4,89.0,36.5
Marselan,4,88.75,34.0
Viosinho,4,88.75,24.5
Edelzwicker,4,88.75,19.75
Babić,4,88.5,35.0
Malagouzia,4,88.5,20.0
Rolle,4,88.25,22.25
Muscat Hamburg,4,88.0,18.75
Mazuelo,4,87.75,78.25
Sangiovese-Syrah,4,87.75,46.5
Pallagrello Nero,4,87.75,45.25
Pinot Blanc-Chardonnay,4,87.75,23.5
Robola,4,87.75,23.0
Códega do Larinho,4,87.75,18.0
Chardonnay-Sauvignon Blanc,4,87.75,13.0
Mansois,4,87.25,17.0
Sauvignon Blanc-Chenin Blanc,4,86.75,16.0
Vranec,4,86.75,16.0
Roditis,4,86.5,16.75
Vilana,4,86.5,14.5
Vinhão,4,86.25,22.0
Macabeo-Chardonnay,4,85.0,11.75
Symphony,4,84.75,16.75
Sauvignon Blanc-Verdejo,4,84.75,12.25
Pignoletto,4,84.5,16.333333333333332
Malbec-Cabernet,3,91.66666666666667,113.33333333333333
Cabernet Franc-Malbec,3,91.0,65.33333333333333
Mourvèdre-Syrah,3,91.0,43.666666666666664
Ugni Blanc,3,90.66666666666667,27.0
Romorantin,3,90.66666666666667,23.333333333333332
Syrah-Cabernet Franc,3,90.33333333333333,66.0
Vitovska,3,90.33333333333333,64.33333333333333
Tinta Francisca,3,90.33333333333333,50.0
Shiraz-Malbec,3,90.0,18.666666666666668
Malbec Blend,3,89.66666666666667,66.5
Cerceal,3,89.66666666666667,44.666666666666664
Viognier-Grenache Blanc,3,89.66666666666667,32.0
Muskat,3,89.66666666666667,20.5
Bovale,3,89.33333333333333,30.0
Magliocco,3,89.33333333333333,30.0
Merlot-Tannat,3,89.33333333333333,18.333333333333332
Grenache Noir,3,89.0,28.333333333333332
Nielluciu,3,89.0,23.333333333333332
Clairette,3,89.0,21.0
Verduzzo Friulano ,3,88.66666666666667,54.333333333333336
Melnik,3,88.66666666666667,22.333333333333332
Shiraz-Mourvèdre,3,88.66666666666667,17.666666666666668
Argaman,3,88.33333333333333,40.666666666666664
Canaiolo,3,88.33333333333333,40.666666666666664
Viognier-Marsanne,3,88.33333333333333,20.333333333333332
Nuragus,3,88.33333333333333,16.0
Madeira Blend,3,88.0,45.5
Pinot Noir-Syrah,3,88.0,38.666666666666664
Incrocio Manzoni,3,88.0,26.333333333333332
Rebula,3,88.0,22.666666666666668
Pugnitello,3,87.66666666666667,49.0
Sangiovese Cabernet,3,87.66666666666667,46.333333333333336
Abouriou,3,87.66666666666667,35.0
Ciliegiolo,3,87.66666666666667,30.666666666666668
Trebbiano di Lugana,3,87.66666666666667,29.333333333333332
Poulsard,3,87.33333333333333,26.0
Grenache-Shiraz,3,87.33333333333333,22.333333333333332
Elbling,3,87.33333333333333,16.0
Muscat of Alexandria,3,87.0,19.666666666666668
Monica,3,87.0,16.666666666666668
Garnacha-Monastrell,3,87.0,11.666666666666666
Casavecchia,3,86.66666666666667,43.0
Emir,3,86.66666666666667,16.333333333333332
Rivaner,3,86.66666666666667,16.333333333333332
Marzemino,3,86.33333333333333,52.333333333333336
Tinta del Toro,3,86.33333333333333,23.333333333333332
Muscat d'Alexandrie,3,86.33333333333333,18.666666666666668
Chinuri,3,86.0,25.333333333333332
Muscat Blanc à Petits Grains,3,86.0,16.0
Azal,3,86.0,13.666666666666666
Moscatel de Alejandría,3,85.33333333333333,18.666666666666668
Jacquez,3,85.0,34.333333333333336
Malvasia-Viura,3,85.0,17.666666666666668
Asprinio,3,84.0,15.0
Airen,3,81.66666666666667,9.0
Tinta del Pais,2,95.0,47.5
Rosenmuskateller,2,92.5,150.0
Roviello,2,92.5,28.0
Sirica,2,92.5,23.0
Syrah-Petit Verdot,2,92.0,42.0
Chardonnay Weissburgunder,2,92.0,41.5
Chardonnay-Albariño,2,91.5,31.0
Cabernet-Shiraz,2,91.0,83.5
Baga-Touriga Nacional,2,91.0,40.0
Malbec-Petit Verdot,2,91.0,39.5
Black Monukka,2,91.0,25.0
Carignan-Syrah,2,90.5,48.5
Nasco,2,90.5,37.5
Trollinger,2,90.5,21.5
Moscato Rosa,2,90.0,33.5
Cariñena-Garnacha,2,89.5,31.0
Hárslevelü,2,89.5,28.0
Rara Neagra,2,89.5,17.5
Debit,2,89.0,82.5
Touriga,2,89.0,45.5
White Port,2,89.0,40.0
Rabigato,2,89.0,34.0
Apple,2,89.0,29.0
Cabernet Sauvignon-Merlot-Shiraz,2,89.0,15.0
Listán Negro,2,88.5,32.5
Mandilaria,2,88.5,25.0
Gouveio,2,88.5,22.5
Trousseau Gris,2,88.5,22.5
Merlot-Syrah,2,88.5,21.0
Rebo,2,88.0,27.0
Erbaluce,2,88.0,25.5
Vespolina,2,88.0,25.0
Kadarka,2,88.0,24.0
Malvasia Fina,2,88.0,23.5
Tinta Miúda,2,88.0,21.0
Monastrell-Petit Verdot,2,88.0,19.5
Cabernet Sauvignon Grenache,2,88.0,18.5
Lambrusco Salamino,2,88.0,18.5
Tămâioasă Românească,2,88.0,11.0
Marawi,2,87.5,35.0
Cabernet Pfeffer,2,87.5,30.0
Garnacha Blend,2,87.5,19.0
Feteasca,2,87.5,17.5
Muscatel,2,87.5,17.0
Treixadura,2,87.5,16.5
Moscatel Graúdo,2,87.5,13.0
Bombino Bianco,2,87.0,30.0
Malvasia di Candia,2,87.0,22.5
Cabernet Franc-Lemberger,2,87.0,20.0
Plyto,2,87.0,19.5
Xynisteri,2,87.0,18.5
Saperavi-Merlot,2,87.0,17.5
Morio Muskat,2,87.0,17.0
Fer Servadou,2,87.0,16.5
Shiraz-Cabernet,2,86.5,47.0
Souzao,2,86.5,30.0
Marsanne-Viognier,2,86.5,27.5
Ansonica,2,86.5,26.0
Alvarelhão,2,86.5,21.0
Freisa,2,86.5,21.0
Sacy,2,86.5,19.0
Çalkarası,2,86.5,19.0
Cabernet Moravia,2,86.5,18.0
Tempranillo-Syrah,2,86.5,17.5
Blauer Portugieser,2,86.5,15.5
Malbec-Tempranillo,2,86.5,11.0
Durif,2,86.0,32.5
Grolleau,2,86.0,32.0
Papaskarasi,2,86.0,22.0
Grignolino,2,86.0,17.0
Zlahtina,2,86.0,14.5
Cabernet Franc-Carmenère,2,86.0,12.0
Rufete,2,85.5,28.5
Muscadine,2,85.5,22.5
Bastardo,2,85.5,20.5
Yapincak,2,85.5,18.0
Madeleine Angevine,2,85.5,17.5
Chelois,2,85.0,22.5
Malvar,2,84.5,23.5
Marquette,2,84.5,18.0
Cayuga,2,84.5,16.0
Viura-Verdejo,2,84.5,12.0
Gragnano,2,82.5,16.5
Shiraz-Tempranillo,2,82.0,8.5
Chancellor,2,80.5,16.0
Terrantez,1,95.0,236.0
Gelber Traminer,1,95.0,35.0
Sercial,1,94.0,50.0
Riesling-Chardonnay,1,94.0,40.0
Ramisco,1,93.0,495.0
Garnacha-Cariñena,1,93.0,57.0
Blauburgunder,1,93.0,19.0
Tinta Negra Mole,1,92.0,112.0
Pignolo,1,92.0,70.0
Babosa Negro,1,92.0,45.0
Moscato di Noto,1,92.0,40.0
Torontel,1,92.0,40.0
Vespaiolo,1,92.0,40.0
Centesimino,1,92.0,36.0
Sauvignon Blanc-Assyrtiko,1,92.0,20.0
Caprettone,1,92.0,19.0
Kotsifali,1,92.0,13.0
Francisa,1,91.0,160.0
Malbec-Carménère,1,91.0,43.0
Meseguera,1,91.0,35.0
Prunelard,1,91.0,23.0
Torbato,1,91.0,20.0
Roussanne-Grenache Blanc,1,91.0,16.0
Bacchus,1,91.0,
Tempranillo-Malbec,1,91.0,
Mavrotragano,1,90.0,50.0
Syrah-Grenache-Viognier,1,90.0,45.0
Favorita,1,90.0,40.0
Früburgunder,1,90.0,40.0
Otskhanuri Sapere,1,90.0,30.0
Tinta Amarela,1,90.0,30.0
Shiraz-Roussanne,1,90.0,29.0
Tsapournakos,1,90.0,27.0
Sauvignonasse,1,90.0,25.0
Schwartzriesling,1,90.0,25.0
Orangetraube,1,90.0,22.0
Cesanese,1,90.0,20.0
Pinot Gris-Gewürztraminer,1,90.0,20.0
Ondenc,1,90.0,15.0
Tinta Cao,1,90.0,14.0
Vital,1,90.0,
Tinta Madeira,1,89.0,45.0
Ryzlink Rýnský,1,89.0,40.0
Tokay Pinot Gris,1,89.0,30.0
Other,1,89.0,27.0
Vidadillo,1,89.0,24.0
Graševina,1,89.0,20.0
Tamianka,1,89.0,20.0
Xinisteri,1,89.0,20.0
Catalanesca,1,89.0,19.0
Karasakiz,1,89.0,15.0
Syrah-Malbec,1,89.0,14.0
Gamza,1,89.0,11.0
Merlot-Grenache,1,89.0,10.0
Biancu Gentile,1,89.0,
Petit Meslier,1,89.0,
Cercial,1,88.0,50.0
Vermentino Nero,1,88.0,45.0
Albarossa,1,88.0,40.0
Muscadel,1,88.0,30.0
Uvalino,1,88.0,29.0
Jampal,1,88.0,25.0
Thrapsathiri,1,88.0,25.0
Frankovka,1,88.0,24.0
Carcajolu,1,88.0,21.0
Tempranillo-Tannat,1,88.0,20.0
Petit Courbu,1,88.0,19.0
Ojaleshi,1,88.0,18.0
Tamjanika,1,88.0,18.0
Žilavka,1,88.0,15.0
Piquepoul Blanc,1,88.0,13.0
